horizon,split,prediction_quantile,row_count,y_pred_min,y_pred_max,y_pred_mean,y_true_mean,y_true_median,y_true_std,directional_accuracy,expected_convergence_mean,actual_convergence_mean,actual_convergence_hit_rate
16,test,1,100,-0.83839536,-0.3906662,-0.4901104,-0.24628288318161126,-0.16471194454792926,0.8453452310024618,0.59,0.10548126995563507,0.20984400287679514,0.61
16,test,2,100,-0.38813984,-0.26791254,-0.319538,0.0008255682815348563,-0.033430081202168616,0.7155583555335797,0.51,0.16812514424324035,0.038728407816250726,0.51
16,test,3,100,-0.2640704,-0.18217082,-0.22765823,-0.0553864228696453,-0.12281495590172486,0.9293481978449962,0.52,0.10686481177806854,0.19225890908120363,0.57
16,test,4,100,-0.18033609,-0.12237893,-0.1502965,-0.07094393048106981,-0.17271935970056607,0.842590119955749,0.61,0.016475971266627313,0.11443714502399326,0.5
16,test,5,100,-0.121599965,-0.07343434,-0.100302346,-0.14265764748597143,-0.16171000748928321,0.7528564058674659,0.58,0.011619216725230218,0.12867116401483059,0.54
16,test,6,100,-0.07326837,-0.025313444,-0.0487713,-0.12140402474595194,-0.13482587787835065,0.7734591121821859,0.61,0.009563123118132353,0.18694827313858767,0.58
16,test,7,100,-0.025244098,0.019723607,-0.0030688662,0.11699629984969452,0.18644923915713374,0.7361672882116819,0.46,0.0015658975060796364,0.15554222260335718,0.59
16,test,8,100,0.020979658,0.06871454,0.044404026,0.22749927703795642,0.2749455418339011,0.7431732433708659,0.68,0.010679470524191857,0.10320412434445084,0.58
16,test,9,100,0.0699924,0.13108467,0.10109574,0.2913375414780648,0.3355310139261416,0.7626287447491567,0.66,0.026711720824241638,0.06768034176622059,0.55
16,test,10,100,0.13109267,0.43067977,0.18836483,0.16075219985212985,0.20854397028665073,0.765607810496544,0.57,0.10567896097898483,0.18326176732104268,0.58
16,train,1,362,-1.257202,-0.35114765,-0.4966936,-0.8349781797060692,-0.7907171656255567,0.6257647263763945,0.9281767955801105,0.33296733979362153,0.4326710248507229,0.7596685082872928
16,train,2,362,-0.3504138,-0.23263139,-0.28891462,-0.4504621789484499,-0.40063704199252115,0.6304943949410521,0.7734806629834254,0.1733660428728188,0.1486760747379281,0.6132596685082873
16,train,3,361,-0.23247395,-0.15256281,-0.18962486,-0.32657229065710824,-0.2567663294268492,0.6055404574109793,0.7146814404432132,0.07089264641343061,0.036986853253987595,0.5401662049861495
16,train,4,362,-0.15220286,-0.08593333,-0.117215835,-0.1091774730596155,-0.11859681578391079,0.5916427743127504,0.5911602209944752,0.02098953390483698,-0.11453141431821777,0.4447513812154696
16,train,5,362,-0.08560202,-0.024446948,-0.05437836,0.00998256097292217,-0.031788921589565255,0.5573652920035278,0.5193370165745856,0.0021557213882632677,-0.05561259383380625,0.4558011049723757
16,train,6,361,-0.024411408,0.026574947,0.0008987043,0.04801683026499202,0.04148168283831133,0.5254495147752438,0.47645429362880887,0.0014596372699930006,-0.024745426585308872,0.48476454293628807
16,train,7,362,0.026733778,0.087759264,0.057824478,0.07232410807302363,0.046160444494828035,0.5668837120267681,0.5386740331491713,0.027255168066293165,-0.02243189900051627,0.46408839779005523
16,train,8,361,0.088074856,0.16085199,0.121993914,0.2562882115463784,0.22417262094928425,0.5583898848360506,0.6703601108033241,0.06308643503367406,0.10110321480837861,0.5706371191135734
