rank,rank_sharpe,ma_window,entry_z,exit_z,zscore_valid_rows,sharpe_ratio,daily_return_count,daily_return_mean,daily_return_std,return_over_max_dd,sharpe_rank_eligible,trade_count,winning_trades,losing_trades,win_rate,gross_pnl_twd,net_pnl_twd,return_pct,max_drawdown_twd,max_drawdown_pct,profit_factor,avg_trade_pnl_twd,exposure_minutes,exposure_ratio,total_fee_twd,start,end,rank_net_pnl,rank_return_over_max_dd
11,11,26,2.5,0.5,2393,2.2900223887959172,114,0.0005494463308125345,0.0038087794002867534,2.345047209736287,True,48,30,18,0.625,200288.1515845551,127504.61059914909,0.06375230529957451,-54646.31482515042,-0.02718593682672333,2.1724591660307504,2656.3460541489394,37080,0.18234122593494137,72783.54098540601,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,14,16
12,12,26,3.0,0.5,2393,2.278598504003705,114,0.0004966915123371711,0.003460343411052958,2.910075681488167,True,28,21,7,0.75,154678.86627625526,115056.77016869163,0.057528385084345705,-42204.7820324006,-0.019768690364412304,2.7502348258970595,4109.170363167558,19740,0.09707162351552703,39622.09610756365,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,17,10
13,13,17,2.5,1.0,2402,2.2610290060054856,114,0.0004988665903901816,0.0035025033258718205,2.539183642564406,True,51,32,19,0.6274509803921569,190979.79057946193,115543.04916422228,0.057771524582111045,-46873.330783466576,-0.02275200722534809,2.060512239686806,2265.5499836122017,31965,0.15718816847385114,75436.74141523965,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,16,13
14,14,52,1.5,0.5,2367,2.2445286143138983,114,0.000806859186690432,0.00570654008351753,1.9779936790487962,True,57,37,20,0.6491228070175439,273441.83945200796,188582.91375192016,0.0942914568759601,-96361.22125621303,-0.047670251869209326,2.176427726529383,3308.4721710863187,75480,0.3711735634727447,84858.92570008783,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,5,18
15,15,52,2.0,1.0,2367,2.228513410997157,114,0.000777274872990681,0.005536810334973427,3.029452871135651,True,41,27,14,0.6585365853658537,240044.18257845624,181451.58349883155,0.09072579174941568,-63337.87649853667,-0.02994791323999218,2.3662269312821955,4425.648378020282,65970,0.3244080548793981,58592.59907962472,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,8,8
16,16,17,2.5,0.5,2402,2.161330923283981,114,0.00043561099508619136,0.00319946848198223,1.8560578888494126,True,59,33,26,0.559322033898305,188434.6465013499,100591.33865331936,0.050295669326659756,-55839.66457709088,-0.02709811457326824,1.9552190560060367,1704.9379432765993,21315,0.104816699859851,87843.30784803058,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,20,19
17,17,17,3.0,0.0,2402,2.0013828651178422,114,0.00026113027537454797,0.0020712251927574735,2.0395037638401963,True,29,17,12,0.5862068965517241,102469.42574863094,59926.597241269745,0.029963298620634828,-30313.249215466203,-0.01469146522398013,2.2384555339521475,2066.4343876299913,4635,0.02279265324186767,42542.828507361184,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,31,17
18,18,52,1.5,0.0,2367,1.9811356134085203,114,0.0005704546246816008,0.004570957366893741,1.4251214390727505,True,65,38,27,0.5846153846153846,228870.74510390853,131835.98588321992,0.06591799294161005,-93288.55983275757,-0.04625429885083992,1.6868434447614309,2028.2459366649218,64545,0.3174006048535812,97034.75922068859,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,13,27
19,19,52,2.5,0.0,2367,1.8884510306975646,114,0.00042421100180029567,0.0035659600252379575,1.448918611653012,True,24,16,8,0.6666666666666666,132888.16756445385,97574.53070481945,0.0487872653524098,-67604.55933424598,-0.0336715016012876,2.3449086431999504,4065.605446034144,29835,0.1467138747510511,35313.6368596344,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,21,26
20,20,17,3.0,0.5,2402,1.8286100599054815,114,0.00023700841157047416,0.0020575145988587537,1.618995505115958,True,29,14,15,0.4827586206896552,96844.12240986587,54277.48889673739,0.02713874444836867,-34372.159786012024,-0.016762705246933286,2.1961049013619243,1871.6375481633584,9705,0.04772442280740577,42566.633513128465,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,33,23
21,21,26,2.0,0.5,2393,1.7645895339334476,114,0.00047008503769060327,0.004228954374480618,1.1991532930736601,True,65,36,29,0.5538461538461539,207239.13241282795,107952.43127273725,0.053976215636368605,-90023.87926237052,-0.045011939631185265,1.5705852611544817,1660.8066349651883,50670,0.24917017039167957,99286.7011400907,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,19,28
22,22,26,2.5,0.0,2393,1.66520471728217,114,0.000324177030895991,0.0030904013024054796,1.6294020526551214,True,50,29,21,0.58,149437.92203450284,74164.83792829831,0.0370824189641492,-45679.28543200507,-0.02275829891322596,1.619541127634382,1483.2967585659662,22035,0.10835730618868482,75273.08410620452,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,25,22
23,23,26,2.5,1.0,2393,1.5630319191270494,114,0.0004224293487770949,0.0042902885974972094,1.1098963043316539,True,44,25,19,0.5681818181818182,162975.96047497418,96475.12435975437,0.04823756217987719,-87282.7392092403,-0.043461323361126424,1.6759862474671376,2192.61646272169,47010,0.23117208822010768,66500.83611521979,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,22,31
24,24,17,2.5,0.0,2402,1.447481536143055,114,0.0002886194436145337,0.0031652850234343177,1.1125690412614073,True,60,33,27,0.55,155343.43118540183,65723.42560847945,0.03286171280423971,-61444.83471813891,-0.029536785211083886,1.4745010947001214,1095.3904268079907,15255,0.0750165965921664,89620.00557692241,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,29,30
25,25,26,3.0,1.0,2393,1.426954050695872,114,0.0003374394414697319,0.0037539296135207885,1.61086278861437,True,25,13,12,0.52,111884.45612854647,76773.52299004543,0.03838676149502269,-47723.2779081692,-0.023829938692694095,1.9288119813855185,3070.9409196018173,27495,0.13520690418234121,35110.93313850105,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,24,24
26,26,9,2.5,1.0,2410,1.3209568523259128,114,0.00020253613811985644,0.002433964070931028,0.9583769705848412,True,31,16,15,0.5161290322580645,91815.43843565224,46027.383767300445,0.02301369188365026,-48026.38750721724,-0.02401319375360862,1.6138832043406315,1484.7543150742079,9420,0.04632293280224238,45788.054668351804,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,37,32
