rank,rank_sharpe,ma_window,entry_z,exit_z,zscore_valid_rows,sharpe_ratio,daily_return_count,daily_return_mean,daily_return_std,return_over_max_dd,sharpe_rank_eligible,trade_count,winning_trades,losing_trades,win_rate,gross_pnl_twd,net_pnl_twd,return_pct,max_drawdown_twd,max_drawdown_pct,profit_factor,avg_trade_pnl_twd,exposure_minutes,exposure_ratio,total_fee_twd,start,end,rank_net_pnl,rank_return_over_max_dd
11,11,498,1.5,1.0,29412,6.965403675771684,38,0.002384699032408861,0.005434849911228905,4.45577416395087,True,82,59,23,0.7195121951219512,328423.7018516585,188278.80168438537,0.09413940084219258,-44678.81531801587,-0.021127507225079053,2.7073834139281154,2296.0829473705535,33902,0.5249694173028384,140144.90016727315,2026-05-08 17:25:00+08:00,2026-06-22 13:44:00+08:00,7,15
12,12,498,2.0,0.5,29412,6.935091674047827,38,0.0025215650072751457,0.0057718924889471925,5.177516195114919,True,79,63,16,0.7974683544303798,335171.1119668232,199510.7376826075,0.09975536884130375,-40617.3113531908,-0.019267031735299017,3.253000687053407,2525.4523757292086,23989,0.3714675049164589,135660.37428421562,2026-05-08 17:25:00+08:00,2026-06-22 13:44:00+08:00,6,9
13,13,498,2.5,0.5,29412,6.636737644233368,38,0.002323671440784217,0.005558023014165733,5.320911830412317,True,52,39,13,0.75,272113.04083529743,183170.92553416142,0.09158546276708064,-35832.85597947682,-0.017212362408189668,4.208379604670586,3522.5177987338734,15395,0.23839018876105236,88942.11530113601,2026-05-08 17:25:00+08:00,2026-06-22 13:44:00+08:00,9,6
14,14,997,2.5,1.0,28913,6.415592586788063,38,0.002016132832646587,0.004988645410159011,3.973114169790357,True,25,20,5,0.8,201399.29738915805,158094.11224094313,0.07904705612047157,-41842.65402510855,-0.01989549072652058,4.812623357636841,6323.764489637725,24674,0.3820746682358042,43305.18514821491,2026-05-08 17:25:00+08:00,2026-06-22 13:44:00+08:00,17,18
15,15,1994,1.5,0.5,27916,6.395254050650315,38,0.0026605938710255856,0.006604212749071841,4.667376521464797,True,32,28,4,0.875,265708.9292046073,210715.85807231657,0.10535792903615837,-47597.36966586043,-0.02257326542044076,7.058764815803497,6584.870564759893,26887,0.4163427739667694,54993.071132290745,2026-05-08 17:25:00+08:00,2026-06-22 13:44:00+08:00,4,14
16,16,997,2.5,0.5,28913,6.35428374758527,38,0.001815056132041298,0.00453444070025579,3.1389952359866804,True,27,22,5,0.8148148148148148,189235.722539675,141867.5328344325,0.07093376641721627,-47402.48514691461,-0.022597602444248265,4.5749767945533755,5254.353067941945,21893,0.3390111336502578,47368.18970524247,2026-05-08 17:25:00+08:00,2026-06-22 13:44:00+08:00,23,30
17,17,997,1.5,0.0,28913,6.203274103207346,38,0.0018731311649626446,0.004793442127214875,3.3874687295355983,True,67,52,15,0.7761194029850746,260207.8650533225,146497.68725264602,0.07324884362632292,-44939.337987112114,-0.021623474480416797,3.322136079302935,2186.532645561881,23096,0.3576394803264219,113710.17780067648,2026-05-08 17:25:00+08:00,2026-06-22 13:44:00+08:00,22,26
18,18,498,1.5,0.5,29412,5.963015594959411,38,0.0021128048806220317,0.005624626862610903,3.6353310673257697,True,103,73,30,0.7087378640776699,341419.0938494152,165751.25230167358,0.0828756261508367,-47703.47122304025,-0.02279727062432359,2.2396400886981183,1609.2354592395493,27854,0.4313166818934948,175667.84154774155,2026-05-08 17:25:00+08:00,2026-06-22 13:44:00+08:00,14,21
19,19,1994,2.0,0.0,27916,5.8653247330986105,38,0.0017462705111094736,0.004726283066479599,3.7947809596412725,True,22,20,2,0.9090909090909091,174212.53866652658,136219.30548187665,0.06810965274093836,-37138.04869485181,-0.017948243512684033,11.997219886471523,6191.786612812575,16939,0.2622988897319562,37993.23318464991,2026-05-08 17:25:00+08:00,2026-06-22 13:44:00+08:00,26,20
20,20,997,2.0,1.0,28913,5.832565200315122,38,0.0018132593516244457,0.004935152690553355,3.4249695891020533,True,30,24,6,0.8,193151.08070394024,141572.12755027556,0.07078606377513777,-43555.46700566821,-0.020667647385942546,3.7011838614036914,4719.070918342519,28592,0.44274454544046826,51578.95315366468,2026-05-08 17:25:00+08:00,2026-06-22 13:44:00+08:00,24,24
