ma_window,entry_z,exit_z,trade_count,contracts_median,net_0.0,sharpe_0.0,dd_0.0,net_0.5,sharpe_0.5,dd_0.5,net_1.0,sharpe_1.0,dd_1.0,net_1.5,sharpe_1.5,dd_1.5,net_2.0,sharpe_2.0,dd_2.0,survives_1t
2500,1.0,0.0,58,3.0,524588.8554953774,12.37687040708018,-0.01841310532604096,426088.85549537744,10.963806112865376,-0.01909068961124664,327588.85549537744,9.124379796683124,-0.019820048012645534,229088.85549537744,6.8125249318486185,-0.020607350325802395,130588.85549537744,4.065840989025568,-0.027235152490984293,True
2500,1.0,0.25,43,3.0,474598.7625069008,12.48583786661132,-0.018628013871040176,401598.7625069008,11.255366634924822,-0.019146087620466774,328598.7625069008,9.752310441582479,-0.01969380259543499,255598.76250690082,7.959393267665433,-0.020273777564277132,182598.76250690082,5.892840175381145,-0.02473438116767485,True
2500,1.0,0.5,36,3.0,443395.0195859135,11.609097135973363,-0.018921800566188546,381895.0195859135,10.469075214426976,-0.01936087321011279,320395.0195859135,9.157026663385917,-0.01982080692903131,258895.0195859135,7.67028270041445,-0.02030312461737069,197395.0195859135,6.019637488240407,-0.020809501098471975,True
2500,1.25,0.0,34,3.0,419054.0997840171,10.957977627479735,-0.019096691148664264,360054.0997840171,9.842944959964893,-0.01952293971078039,301054.0997840171,8.576910423790546,-0.01996865088990346,242054.09978401707,7.156559469153361,-0.020435188831663006,183054.09978401707,5.58779516637205,-0.02092404821640465,True
2500,1.25,0.25,32,3.0,442108.7680213349,11.533846901261377,-0.01878553406821882,387108.7680213349,10.58986968321611,-0.019181584365164105,332108.7680213349,9.496064137989341,-0.019594693959658082,277108.7680213349,8.244200770361015,-0.020025989319287292,222108.7680213349,6.835052108248347,-0.02047669832167582,True
2500,1.25,0.5,29,3.0,414893.9173806277,11.086549555137044,-0.019000136909415603,364893.9173806277,10.168159305691443,-0.019363877128160487,314893.9173806277,9.127080620143659,-0.019741816116005284,264893.9173806277,7.957881355601574,-0.02013480180604383,214893.9173806277,6.661165041642323,-0.02054375101937294,True
2500,1.5,0.0,23,3.0,355548.0600643563,9.652910557859283,-0.019474428393384913,315548.0600643563,8.925844488846902,-0.019787293912901596,275548.0600643563,8.1139646024821,-0.020110376222556615,235548.0600643563,7.210740668843615,-0.02044418408133119,195548.0600643563,6.211414523261964,-0.020789260597491616,True
2500,1.5,0.25,22,3.0,359512.57030769717,9.73966990771075,-0.01945963895134591,321512.57030769717,9.083798831729306,-0.019754767171047443,283512.57030769717,8.34579456123506,-0.020058985178355228,245512.57030769717,7.518592681328061,-0.02037271948211215,207512.57030769717,6.596834356240619,-0.020696423698531002,True
2500,1.5,0.5,21,3.0,354032.27220244985,9.874661347755959,-0.019505595500495514,317532.27220244985,9.205948622992643,-0.0197891438371528,281032.27220244985,8.459823788724512,-0.02008105753245642,244532.27220244985,7.630935743913972,-0.020381712326355668,208032.27220244985,6.715629650599978,-0.020691506803231993,True
2500,1.75,0.0,17,3.0,288649.0656745499,8.83798745600368,-0.020109110322624524,259149.0656745499,8.167697299670115,-0.020346389016861116,229649.0656745499,7.443371043526292,-0.020589334141831568,200149.0656745499,6.663505185181818,-0.020838151129758866,170649.0656745499,5.82759797684439,-0.021093055464729782,True
2500,1.75,0.25,16,3.0,284572.50510994997,8.72925590402703,-0.020165323001113476,257072.50510994997,8.100932327947307,-0.02038555924483268,229572.50510994997,7.422033688487782,-0.02061065924308327,202072.50510994997,6.691918759797586,-0.020840785913454035,174572.50510994997,5.911095506599964,-0.021076109531865977,True
2500,1.75,0.5,15,3.0,271575.0221417751,8.807247989386104,-0.020282769732718652,245575.02214177512,8.159857609263177,-0.020491668179734503,219575.02214177512,7.462688825710556,-0.020704914423998282,193575.02214177512,6.716277391703909,-0.020922645628762174,167575.02214177512,5.922491735977867,-0.02114500478818637,True
2500,2.0,0.0,12,3.0,241878.84407338174,8.536076527438656,-0.020545397980259287,221378.84407338174,8.114525892612631,-0.020707534665589996,200878.84407338174,7.645490567430994,-0.020872250752160735,180378.84407338174,7.124409834350363,-0.021039608286307993,159878.84407338174,6.546975236866554,-0.02120967132044899,True
2500,2.0,0.25,11,3.0,238015.29272585176,8.355034674938313,-0.02060208224495089,219515.29272585176,7.9747541559383786,-0.02074608351335274,201015.29272585176,7.552127473183202,-0.020892111987075083,182515.29272585176,7.083781200010756,-0.021040210777123924,164015.29272585176,6.566810233161797,-0.021190424225643684,True
2500,2.0,0.5,11,3.0,242184.6345113404,8.409261811069753,-0.020563059700261194,223684.6345113404,8.035761948684952,-0.02070651407850373,205184.6345113404,7.620874881148902,-0.020851984084209428,186684.6345113404,7.161288766371163,-0.020999512499253196,168184.6345113404,6.654123928003104,-0.021149143324869175,True
2500,2.5,0.0,7,3.0,165828.02711030655,7.399820871987479,-0.020939493094463062,153828.02711030655,7.154415350615675,-0.021044146939522817,141828.02711030655,6.878069977054887,-0.021149852141605748,129828.02711030655,6.566562791702617,-0.021256624623659893,117828.02711030655,6.215320973873908,-0.021364480631805127,True
2500,2.5,0.25,7,3.0,176038.83874218445,8.191798972134903,-0.020862161538618383,164038.83874218445,7.940692561676318,-0.020966041900276247,152038.83874218445,7.654188178965715,-0.021070961955870826,140038.83874218445,7.327735740942921,-0.021176937392681037,128038.83874218445,6.956697364871572,-0.02128398421517489,True
2500,2.5,0.5,7,3.0,179410.45708290627,8.161380962542163,-0.020829792344481655,167410.45708290627,7.914386126385788,-0.02093334979994577,155410.45708290627,7.633529220047336,-0.021037942093299122,143410.45708290627,7.314585357629908,-0.02114358481395957,131410.45708290627,6.953254868375189,-0.021250293866056414,True
