rank,rank_sharpe,ma_window,entry_z,exit_z,zscore_valid_rows,sharpe_ratio,daily_return_count,daily_return_mean,daily_return_std,return_over_max_dd,sharpe_rank_eligible,trade_count,winning_trades,losing_trades,win_rate,gross_pnl_twd,net_pnl_twd,return_pct,max_drawdown_twd,max_drawdown_pct,profit_factor,avg_trade_pnl_twd,exposure_minutes,exposure_ratio,total_fee_twd,start,end,rank_net_pnl,rank_return_over_max_dd
11,11,33,2.0,0.0,4910,4.896593102868916,90,0.0011159042716829375,0.003617705365101168,5.179121919447468,True,127,89,38,0.7007874015748031,439595.0466237804,209887.35529399186,0.10494367764699598,-41656.89175642305,-0.020262832055166574,2.092631282534688,1652.6563408975737,46520,0.29416042239716716,229707.69132978845,2026-03-12 00:10:00+08:00,2026-06-29 19:55:00+08:00,9,11
12,12,33,3.0,1.0,4910,4.886019050066914,90,0.0007038730231134413,0.002286859246322276,6.820143611550173,True,29,22,7,0.7586206896551724,181854.8422999729,130254.6691814152,0.06512733459070767,-19575.82343148021,-0.009549261467223659,7.722951517922611,4491.540316600524,16590,0.10490372759176705,51600.17311855767,2026-03-12 00:10:00+08:00,2026-06-29 19:55:00+08:00,31,2
13,13,66,2.0,0.5,4877,4.872650043528952,90,0.0010314997592489586,0.003360502169475606,5.51788726979832,True,64,46,18,0.71875,309179.3173940445,193355.1312072887,0.09667756560364435,-38990.25209122524,-0.017520757651719468,2.371920181881385,3021.173925113886,56860,0.35954345695406115,115824.18618675583,2026-03-12 00:10:00+08:00,2026-06-29 19:55:00+08:00,13,10
14,14,66,2.5,0.5,4877,4.832916577731723,90,0.0009618065940468632,0.0031592116473705633,5.7079321085857595,True,45,31,14,0.6888888888888889,261423.48078301412,179782.78812619892,0.08989139406309953,-32982.9964232957,-0.015748504423850215,3.449536020121741,3995.1730694710873,41575,0.2628916500679756,81640.69265681517,2026-03-12 00:10:00+08:00,2026-06-29 19:55:00+08:00,20,9
15,15,33,1.5,1.0,4910,4.688329679957718,90,0.001312326748488784,0.004443488985259217,5.058704249620839,True,125,88,37,0.704,472261.16794849926,248590.44721351165,0.12429522360675573,-50514.20834437967,-0.024570565400432714,2.000259948137762,1988.7235777080932,77255,0.48850738246545894,223670.72073498764,2026-03-12 00:10:00+08:00,2026-06-29 19:55:00+08:00,4,12
16,16,33,3.0,0.5,4910,4.686992070773585,90,0.0006037163451633175,0.002044744203883417,5.789753338332083,True,29,22,7,0.7586206896551724,162848.792360653,111248.82254464069,0.05562441127232043,-19639.68703990802,-0.009607388781841395,6.362930858837388,3836.1662946427823,14065,0.08893736760567833,51599.96981601231,2026-03-12 00:10:00+08:00,2026-06-29 19:55:00+08:00,37,7
17,17,66,2.5,1.0,4877,4.674156610690614,90,0.0009755356739463434,0.003313142887549675,4.965728077735487,True,44,29,15,0.6590909090909091,261987.81316711617,182378.91406429894,0.09118945703214942,-38826.95606131712,-0.018363763702851487,3.0318988524326187,4144.9753196431575,50400,0.31869486863321633,79608.89910281722,2026-03-12 00:10:00+08:00,2026-06-29 19:55:00+08:00,17,14
18,18,66,1.5,0.0,4877,4.5798564526035515,90,0.0009748803985145474,0.0033790898721746125,4.158705140528099,True,98,67,31,0.6836734693877551,359412.5299579499,182206.60493063586,0.091103302465318,-47615.32027456164,-0.021906651081723273,2.1295509090520053,1859.2510707207741,57380,0.3628315786145626,177205.92502731405,2026-03-12 00:10:00+08:00,2026-06-29 19:55:00+08:00,18,22
19,19,33,1.5,0.0,4910,4.398514686547393,90,0.001148408717557143,0.004144677128496492,4.099442592866872,True,178,125,53,0.702247191011236,537734.6528050962,215952.35318954682,0.10797617659477331,-53917.548346753,-0.02633923372476405,1.779971066684956,1213.2154673570046,56850,0.35948022384520534,321782.29961554945,2026-03-12 00:10:00+08:00,2026-06-29 19:55:00+08:00,8,24
20,20,66,2.5,0.0,4877,4.313612228302748,90,0.0008096301691771483,0.002979516889612562,4.262777069172402,True,46,34,12,0.7391304347826086,233763.81204000174,150263.2317388955,0.07513161586944782,-37696.15749710519,-0.01762503988603708,2.9797951366864113,3266.591994323815,34550,0.21847039109677827,83500.58030110622,2026-03-12 00:10:00+08:00,2026-06-29 19:55:00+08:00,28,21
