rank,rank_sharpe,ma_window,entry_z,exit_z,zscore_valid_rows,sharpe_ratio,daily_return_count,daily_return_mean,daily_return_std,return_over_max_dd,sharpe_rank_eligible,trade_count,winning_trades,losing_trades,win_rate,gross_pnl_twd,net_pnl_twd,return_pct,max_drawdown_twd,max_drawdown_pct,profit_factor,avg_trade_pnl_twd,exposure_minutes,exposure_ratio,total_fee_twd,total_crossing_cost_twd,start,end,rank_net_pnl,rank_return_over_max_dd
25,25,780,1.0,0.25,10031,6.597029987864473,32,0.002603684554779221,0.006265275589540584,4.037231178786944,True,34,30,4,0.8823529411764706,358812.959529593,172228.09910158382,0.08611404955079197,-45263.77429920994,-0.021329977337752166,8.117490862342976,5065.532326517171,41496,0.7945011392138467,186584.86042800912,145937.2964517483,2026-07-06 21:30:00+08:00,2026-08-12 03:59:00+08:00,16,19
26,26,3900,1.0,-0.25,10031,6.501280038757703,32,0.0024003029281242684,0.005860942381664087,3.6941963875130095,True,22,21,1,0.9545454545454546,277078.87638637476,158332.93668061067,0.07916646834030538,-45263.77429920994,-0.021429956622745085,35.20226066252214,7196.951667300485,36767,0.7039575714641291,118745.93970576413,93311.77730408109,2026-07-06 21:30:00+08:00,2026-08-12 03:59:00+08:00,22,26
27,27,3900,1.5,-0.25,10031,6.491883841212759,32,0.002171496849600288,0.005309929238409768,3.2793483288708027,True,12,11,1,0.9166666666666666,208118.69983735125,142826.42812720287,0.07141321406360157,-45263.77429921017,-0.021776647950110167,49.29369148623375,11902.202343933574,31170,0.596794884068238,65292.27171014835,50975.62867493924,2026-07-06 21:30:00+08:00,2026-08-12 03:59:00+08:00,32,35
28,28,780,1.5,0.25,10031,6.476723137138,32,0.002243248832782506,0.005498223482501134,3.459732173152208,True,22,19,3,0.8636363636363636,267700.05516157544,147673.854856283,0.07383692742814146,-45263.77429920994,-0.021341804432470753,8.415730935862427,6712.447948012864,36385,0.6966436271037163,120026.20030529238,93983.02243093873,2026-07-06 21:30:00+08:00,2026-08-12 03:59:00+08:00,27,30
29,29,3900,1.0,0.25,10031,6.474788120578992,32,0.0026790904106475666,0.006568437608547592,4.201695037505046,True,18,17,1,0.9444444444444444,274840.0953853365,177326.84204557442,0.08866342102278722,-45663.39971713396,-0.021101822057851036,39.30522569248436,9851.491224754134,45706,0.8751076987880296,97513.2533397621,76794.77923108218,2026-07-06 21:30:00+08:00,2026-08-12 03:59:00+08:00,15,16
30,30,2500,1.5,-0.25,10031,6.452310634145189,32,0.002091722242130927,0.005146227928222531,3.2104883482147386,True,12,10,2,0.8333333333333334,202755.44736854892,137431.65068597696,0.06871582534298859,-45263.77429921017,-0.0214035429785003,30.343710258164357,11452.637557164746,23828,0.4562216393191522,65323.79668257191,51155.27432911794,2026-07-06 21:30:00+08:00,2026-08-12 03:59:00+08:00,36,40
31,31,3900,1.5,0.0,10031,6.432484486689549,32,0.002065728519316558,0.0050979405698634295,3.135179218667453,True,11,10,1,0.9090909090909091,195558.0686717497,135673.59388617278,0.06783679694308643,-45263.77429921017,-0.0216372947802069,46.87511409395431,12333.963080561161,33875,0.6485860345784908,59884.47478557695,46797.44159257643,2026-07-06 21:30:00+08:00,2026-08-12 03:59:00+08:00,38,42
32,32,780,1.5,0.5,10031,6.43055219696151,32,0.0025765380742626444,0.0063604606066731805,4.036565019391855,True,20,18,2,0.9,279572.1750956428,170304.11169294105,0.08515205584647065,-45263.77429920994,-0.021095177567410913,16.912064036651387,8515.205584647052,38977,0.7462712286277738,109268.06340270163,85516.8647976723,2026-07-06 21:30:00+08:00,2026-08-12 03:59:00+08:00,18,20
33,33,1560,1.5,-0.25,10031,6.409509716632839,32,0.0019131533420957691,0.0047383293140024485,2.9077461292794187,True,17,16,1,0.9411764705882353,218331.70108762896,125407.2623134958,0.06270363115674793,-45263.77429921017,-0.021564341716546895,23.39037982497682,7376.897783146812,27199,0.5207643263321143,92924.43877413314,72714.22690677232,2026-07-06 21:30:00+08:00,2026-08-12 03:59:00+08:00,45,50
34,34,780,2.0,-0.25,10031,6.380812928736361,32,0.0012408190205895966,0.0030869720712864805,1.8531868959082327,True,18,16,2,0.8888888888888888,180231.12811857119,80652.58614114112,0.04032629307057056,-45263.77429921017,-0.02176051058833273,18.811780799920662,4480.699230063396,20479,0.392100174232706,99578.54197743005,77840.52594479467,2026-07-06 21:30:00+08:00,2026-08-12 03:59:00+08:00,79,81
