rank,rank_sharpe,ma_window,entry_z,exit_z,zscore_valid_rows,sharpe_ratio,daily_return_count,daily_return_mean,daily_return_std,return_over_max_dd,sharpe_rank_eligible,trade_count,winning_trades,losing_trades,win_rate,gross_pnl_twd,net_pnl_twd,return_pct,max_drawdown_twd,max_drawdown_pct,profit_factor,avg_trade_pnl_twd,exposure_minutes,exposure_ratio,total_fee_twd,start,end,rank_net_pnl,rank_return_over_max_dd
11,11,37,2.5,0.5,371,1.604046833840545,48,2.5308424123825685e-05,0.0002504657403784266,1.1992343851394733,False,3,2,1,0.6666666666666666,2549.5099466129013,2549.5099466129013,0.001214052355530051,-2129.406222695019,-0.0010123561920623667,3.360340728585761,849.8366488709671,3040,0.02481430087339809,0.0,2026-05-07 11:34:00+08:00,2026-07-31 13:24:00+08:00,11,9
12,12,74,2.0,0.5,334,1.604046833840545,48,2.5308424123825685e-05,0.0002504657403784266,1.1992343851394733,False,3,2,1,0.6666666666666666,2549.5099466129013,2549.5099466129013,0.001214052355530051,-2129.406222695019,-0.0010123561920623667,3.360340728585761,849.8366488709671,3040,0.02481430087339809,0.0,2026-05-07 11:34:00+08:00,2026-07-31 13:24:00+08:00,11,9
13,13,74,2.5,0.5,334,1.604046833840545,48,2.5308424123825685e-05,0.0002504657403784266,1.1992343851394733,False,3,2,1,0.6666666666666666,2549.5099466129013,2549.5099466129013,0.001214052355530051,-2129.406222695019,-0.0010123561920623667,3.360340728585761,849.8366488709671,3040,0.02481430087339809,0.0,2026-05-07 11:34:00+08:00,2026-07-31 13:24:00+08:00,11,9
14,14,148,1.5,0.5,260,1.543615880736233,48,2.4316869855806517e-05,0.00025007409332159105,1.1521704566492155,False,3,2,1,0.6666666666666666,2449.4544818102577,2449.4544818102577,0.0011664068961001579,-2129.406222695019,-0.0010123561920623667,3.2677092058082122,816.4848272700859,3047,0.024871439066198677,0.0,2026-05-07 11:34:00+08:00,2026-07-31 13:24:00+08:00,14,12
15,15,148,2.0,0.5,260,1.543615880736233,48,2.4316869855806517e-05,0.00025007409332159105,1.1521704566492155,False,3,2,1,0.6666666666666666,2449.4544818102577,2449.4544818102577,0.0011664068961001579,-2129.406222695019,-0.0010123561920623667,3.2677092058082122,816.4848272700859,3047,0.024871439066198677,0.0,2026-05-07 11:34:00+08:00,2026-07-31 13:24:00+08:00,14,12
16,16,148,2.5,0.5,260,1.543615880736233,48,2.4316869855806517e-05,0.00025007409332159105,1.1521704566492155,False,3,2,1,0.6666666666666666,2449.4544818102577,2449.4544818102577,0.0011664068961001579,-2129.406222695019,-0.0010123561920623667,3.2677092058082122,816.4848272700859,3047,0.024871439066198677,0.0,2026-05-07 11:34:00+08:00,2026-07-31 13:24:00+08:00,14,12
17,17,20,2.5,0.5,388,1.4399822416039765,48,2.31926370795101e-05,0.00025567794457718665,1.2840384679190093,False,3,2,1,0.6666666666666666,2335.8656051624594,2335.8656051624594,0.001112316954839265,-1820.1083547193557,-0.0008662645104721462,3.1625484268819357,778.6218683874864,1608,0.013125459146192148,0.0,2026-05-07 11:34:00+08:00,2026-07-31 13:24:00+08:00,17,7
18,18,37,2.5,0.0,371,0.9890177616602877,48,1.5273759139784276e-05,0.00024515576869598885,0.8639833497461779,False,3,1,2,0.3333333333333333,1537.1820803611893,1537.1820803611893,0.0007319914668386004,-1780.1121566393413,-0.0008472286729294561,1.8732666596511176,512.3940267870631,399,0.0032568769896334994,0.0,2026-05-07 11:34:00+08:00,2026-07-31 13:24:00+08:00,18,17
19,19,74,2.0,0.0,334,0.9890177616602877,48,1.5273759139784276e-05,0.00024515576869598885,0.8639833497461779,False,3,1,2,0.3333333333333333,1537.1820803611893,1537.1820803611893,0.0007319914668386004,-1780.1121566393413,-0.0008472286729294561,1.8732666596511176,512.3940267870631,399,0.0032568769896334994,0.0,2026-05-07 11:34:00+08:00,2026-07-31 13:24:00+08:00,18,17
20,20,74,2.5,0.0,334,0.9890177616602877,48,1.5273759139784276e-05,0.00024515576869598885,0.8639833497461779,False,3,1,2,0.3333333333333333,1537.1820803611893,1537.1820803611893,0.0007319914668386004,-1780.1121566393413,-0.0008472286729294561,1.8732666596511176,512.3940267870631,399,0.0032568769896334994,0.0,2026-05-07 11:34:00+08:00,2026-07-31 13:24:00+08:00,18,17
21,21,148,1.5,0.0,260,0.9890177616602877,48,1.5273759139784276e-05,0.00024515576869598885,0.8639833497461779,False,3,1,2,0.3333333333333333,1537.1820803611893,1537.1820803611893,0.0007319914668386004,-1780.1121566393413,-0.0008472286729294561,1.8732666596511176,512.3940267870631,399,0.0032568769896334994,0.0,2026-05-07 11:34:00+08:00,2026-07-31 13:24:00+08:00,18,17
22,22,148,2.0,0.0,260,0.9890177616602877,48,1.5273759139784276e-05,0.00024515576869598885,0.8639833497461779,False,3,1,2,0.3333333333333333,1537.1820803611893,1537.1820803611893,0.0007319914668386004,-1780.1121566393413,-0.0008472286729294561,1.8732666596511176,512.3940267870631,399,0.0032568769896334994,0.0,2026-05-07 11:34:00+08:00,2026-07-31 13:24:00+08:00,18,17
23,23,148,2.5,0.0,260,0.9890177616602877,48,1.5273759139784276e-05,0.00024515576869598885,0.8639833497461779,False,3,1,2,0.3333333333333333,1537.1820803611893,1537.1820803611893,0.0007319914668386004,-1780.1121566393413,-0.0008472286729294561,1.8732666596511176,512.3940267870631,399,0.0032568769896334994,0.0,2026-05-07 11:34:00+08:00,2026-07-31 13:24:00+08:00,18,17
24,24,20,2.5,0.0,388,0.9889486947717632,48,1.527277952350729e-05,0.000245157165350699,0.8638798191080465,False,3,1,2,0.3333333333333333,1537.0832304419803,1537.0832304419803,0.0007319443954485247,-1780.2110065585002,-0.0008472757196762106,1.8731614699790422,512.3610768139935,345,0.002816096645171823,0.0,2026-05-07 11:34:00+08:00,2026-07-31 13:24:00+08:00,24,23
