rank,rank_sharpe,ma_window,entry_z,exit_z,zscore_valid_rows,sharpe_ratio,daily_return_count,daily_return_mean,daily_return_std,return_over_max_dd,sharpe_rank_eligible,trade_count,winning_trades,losing_trades,win_rate,gross_pnl_twd,net_pnl_twd,return_pct,max_drawdown_twd,max_drawdown_pct,profit_factor,avg_trade_pnl_twd,exposure_minutes,exposure_ratio,total_fee_twd,start,end,rank_net_pnl,rank_return_over_max_dd
11,11,780,2.0,0.25,14790,13.32887358967393,47,0.003995500988864173,0.00475858754688926,10.725519421964858,True,39,36,3,0.9230769230769231,456849.74529489456,411008.93767400703,0.20550446883700368,-45263.77429920994,-0.019160327882689746,94.73817288080602,10538.690709589924,40749,0.5028940255957743,45840.807620887485,2026-06-09 21:30:00+08:00,2026-08-05 03:59:00+08:00,40,43
12,12,780,2.5,0.25,14790,13.233079321824915,47,0.0036185196408663064,0.004340805122272056,9.458969126103964,True,28,28,0,1.0,401642.02053959575,369031.32226544875,0.1845156611327245,-45263.77429920994,-0.019506952467316516,,13179.690080908884,24879,0.30703822088388105,32610.698274146922,2026-06-09 21:30:00+08:00,2026-08-05 03:59:00+08:00,52,54
13,13,780,1.5,0.0,14790,13.104369022548655,47,0.0046262534850393415,0.005604199424924058,12.971331068382115,True,67,64,3,0.9552238805970149,560654.4950715894,482745.90368110157,0.24137295184055088,-45263.77429920994,-0.018608186821235516,39.46926220025367,7205.162741508979,37169,0.45871231287563713,77908.59139048762,2026-06-09 21:30:00+08:00,2026-08-05 03:59:00+08:00,23,25
14,14,780,2.5,0.0,14790,12.975537231468904,47,0.0029962260235182315,0.0036656373244000756,7.611326633160216,True,28,28,0,1.0,333855.95956452726,301249.53160748736,0.15062476580374362,-45263.77429920994,-0.01978955483890518,,10758.911843124548,21086,0.26022781966950104,32606.427957039803,2026-06-09 21:30:00+08:00,2026-08-05 03:59:00+08:00,73,73
15,15,390,2.5,0.0,14790,12.946192382264258,47,0.003448459709800701,0.004228471134504907,12.885120032125526,True,54,50,4,0.9259259259259259,413522.47109992057,350287.2679538457,0.17514363397692284,-31288.180757138412,-0.013592704882861009,34.31000221825274,6486.801258404549,12831,0.15835071394192202,63235.20314607479,2026-06-09 21:30:00+08:00,2026-08-05 03:59:00+08:00,64,27
16,16,390,1.5,0.0,14790,12.932069809857385,47,0.004966892080476319,0.006097010653539678,14.188879054352123,True,131,114,17,0.8702290076335878,677982.3972549029,522286.7511610051,0.26114337558050266,-44479.84106714744,-0.018404792554800355,7.167971111801956,3986.9217645878252,43549,0.5374495550975577,155695.64609389764,2026-06-09 21:30:00+08:00,2026-08-05 03:59:00+08:00,15,13
17,17,780,1.25,0.25,14790,12.865786551554871,47,0.005339091602655371,0.0065876618818515534,15.586532172322123,True,80,76,4,0.95,659027.8111659923,566212.2221063535,0.2831061110531767,-45263.77429920994,-0.01816350859339347,31.582716144453645,7077.652776329419,53365,0.6585913685223809,92815.5890596388,2026-06-09 21:30:00+08:00,2026-08-05 03:59:00+08:00,8,5
18,18,2500,1.0,0.25,14790,12.802387289942757,47,0.004742499405745846,0.005880531686616965,13.424267277315662,True,43,43,0,1.0,545144.7247192621,496102.76250690065,0.24805138125345041,-45263.77429920994,-0.01847783392041127,,11537.273546672108,62903,0.7763023115180985,49041.96221236145,2026-06-09 21:30:00+08:00,2026-08-05 03:59:00+08:00,19,22
19,19,2500,1.0,0.0,14790,12.71622152972564,47,0.005234980029646815,0.0065351748919085595,15.199894518938493,True,58,58,0,1.0,620087.2930944875,553790.3554953776,0.27689517774768874,-45263.77429920994,-0.018216914426786832,,9548.10957750651,58680,0.7241851682730874,66296.93759910986,2026-06-09 21:30:00+08:00,2026-08-05 03:59:00+08:00,11,7
20,20,390,1.75,0.25,14790,12.625438711712219,47,0.004709756766281459,0.005921780030166381,13.887319461848726,True,88,79,9,0.8977272727272727,597206.2062904411,492249.3744355614,0.24612468721778086,-36873.971443635644,-0.017722980154228837,13.227595837840806,5593.742891313198,43568,0.5376840390477483,104956.83185487971,2026-06-09 21:30:00+08:00,2026-08-05 03:59:00+08:00,22,17
21,21,780,2.0,0.0,14790,12.612495464979188,47,0.003458170455426007,0.00435256878786594,9.070132105324005,True,42,39,3,0.9285714285714286,400512.1802774208,351300.41994414915,0.17565020997207448,-45263.77429920994,-0.019365782982253475,36.33734744146393,8364.295712955933,31651,0.3906132372360513,49211.76033327165,2026-06-09 21:30:00+08:00,2026-08-05 03:59:00+08:00,62,59
22,22,390,2.0,0.5,14790,12.602801260484298,47,0.004505412589036799,0.005675024632042617,13.75844581792256,True,68,60,8,0.8823529411764706,549857.2888707591,468697.16222698346,0.2343485811134919,-35456.32400126546,-0.01703307075630706,12.57868635772627,6892.605326867404,44125,0.5445581211664959,81160.12664377555,2026-06-09 21:30:00+08:00,2026-08-05 03:59:00+08:00,28,18
23,23,390,2.5,0.25,14790,12.47681455181675,47,0.0035314189967302814,0.0044930970489532865,13.14796610201944,True,49,46,3,0.9387755102040817,416784.75135154376,359312.8437543476,0.1796564218771737,-31288.180757138412,-0.013664198742464028,102.15604662099506,7332.915178660155,18556,0.22900443051253255,57471.90759719614,2026-06-09 21:30:00+08:00,2026-08-05 03:59:00+08:00,57,24
24,24,780,1.5,0.25,14790,12.418789588475494,47,0.004940248726295622,0.0063149485470200386,14.12153125320971,True,58,56,2,0.9655172413793104,586818.2165574211,518998.4103422611,0.2594992051711306,-45263.77429920994,-0.01837613786480475,103.28981656968762,8948.248454176915,46384,0.5724370287181133,67819.80621516009,2026-06-09 21:30:00+08:00,2026-08-05 03:59:00+08:00,16,14
25,25,780,1.25,0.5,14790,12.381879594963182,47,0.005117825993212719,0.006561440721900311,14.742118172402495,True,65,61,4,0.9384615384615385,614985.1397323564,539818.3007188874,0.26990915035944363,-45263.77429920994,-0.01830870891163512,27.90663985029176,8304.896934136728,60866,0.7511631638055511,75166.83901346909,2026-06-09 21:30:00+08:00,2026-08-05 03:59:00+08:00,12,9
26,26,1560,1.0,0.25,14790,12.317059489797593,47,0.004878036652745344,0.006286925161047935,13.254575412673635,True,56,53,3,0.9464285714285714,576309.8961571888,511698.2825593134,0.2558491412796569,-47501.86733784294,-0.019302703656204748,27.1822353186429,9137.46933141631,69639,0.85943304249096,64611.61359787539,2026-06-09 21:30:00+08:00,2026-08-05 03:59:00+08:00,17,23
