window,entry_z,exit_z,sharpe,trades,net,maxdd_pct,ret_pct,exposure,med_ticks,under1,win_rate,hold_med_h,weekend,cross_share,neighbour_sharpe
780,1.0,0.0,5.952177818114021,38,146076.0566368528,-0.021607566917389385,0.07303802831842635,0.6791246242508951,0.9415920333766215,0.5526315789473685,0.6842105263157895,3.025,5,0.7820628692187633,5.023576703137376
780,1.0,0.25,6.701041250405539,34,172229.00383757366,-0.02128208678424292,0.0861145019187869,0.7945011392138467,1.274266440655119,0.4411764705882353,0.8529411764705882,10.666666666666666,5,0.782154383370918,5.4817118982302615
780,1.0,0.5,6.758962825157454,31,189510.7475809369,-0.02108413468244103,0.09475537379046856,0.8234314269850084,1.6453574340346044,0.25806451612903225,0.8709677419354839,18.716666666666665,4,0.7817091890058039,6.045311222653273
780,1.5,-0.25,6.978244905392252,24,118600.75925595494,-0.021431593547491277,0.0593003796279775,0.458768117329453,1.3726360440615883,0.4166666666666667,0.875,5.916666666666667,4,0.7828415175656764,5.727697977017693
780,1.5,0.0,6.827441772588176,23,137331.25941517425,-0.02149353152538973,0.06866562970758719,0.5117846407168432,1.8574374582228526,0.391304347826087,0.782608695652174,18.133333333333333,4,0.7831484652135513,6.483750352102195
780,1.5,0.25,6.52160334888597,22,147567.71389281692,-0.0213039916334976,0.07378385694640852,0.6966436271037163,1.9798394756188515,0.2727272727272727,0.8181818181818182,23.441666666666666,5,0.7830285326270479,6.636437032140759
780,1.5,0.5,6.504034991797652,20,168739.05130700595,-0.02106607517671795,0.0843695256535029,0.7462712286277738,2.6992099299310315,0.2,0.85,24.133333333333333,4,0.7826486090062881,6.8782063507214986
780,2.0,-0.25,6.344850198201337,18,81746.96959297184,-0.0217126533238786,0.04087348479648598,0.392100174232706,1.0295978308690668,0.5,0.9444444444444444,12.091666666666667,4,0.7816997343655595,5.9452634405503675
780,2.0,0.0,6.682156973928814,18,111972.07769713398,-0.02172680473161373,0.05598603884856706,0.44507840471768556,1.6754039653518318,0.3333333333333333,0.8888888888888888,22.808333333333334,4,0.7818474234866549,6.228434372125128
780,2.0,0.25,5.936560122440428,17,109310.44522181423,-0.0216326089636635,0.05465522261090716,0.6294587298244271,1.9236321942233625,0.4117647058823529,0.8823529411764706,24.033333333333335,5,0.7815891142948426,6.209496293456443
780,2.0,0.5,5.001516811084194,15,114441.76883458847,-0.0215608244036269,0.05722088441729429,0.7000899883206647,2.180213857170337,0.3333333333333333,0.9333333333333333,30.416666666666668,4,0.78071881776441,6.5224363197826465
780,2.5,-0.25,5.662894454731445,13,74260.8468941829,-0.021642620373168317,0.037130423447091485,0.17365831243179078,1.6435555773500676,0.23076923076923078,0.8461538461538461,5.7,2,0.7808865369139725,5.1119915373117815
780,2.5,0.0,5.92637246039729,13,104592.59545483484,-0.021653846203450688,0.05229629772741743,0.22579409906373854,2.1931036941402215,0.07692307692307693,0.9230769230769231,23.983333333333334,2,0.7810962766808456,5.346307560227286
780,2.5,0.25,4.691203024327371,12,86474.42861840705,-0.021736285097832344,0.043237214309203555,0.3067644412108216,1.766253997898172,0.25,0.9166666666666666,24.008333333333333,2,0.7809435769559874,5.493881787798385
780,2.5,0.5,4.345564008068031,11,102653.84013850734,-0.021549799120762735,0.05132692006925377,0.4556280993317888,2.180213857170337,0.18181818181818182,0.9090909090909091,29.683333333333334,2,0.7792873837670362,5.551694882630665
1560,0.75,-0.25,5.117412799737151,37,130610.32356078454,-0.02433932740443405,0.06530516178039228,0.6784162055563001,0.705294421813524,0.5675675675675675,0.8378378378378378,1.45,5,0.7834204648984088,5.2863491404408816
1560,0.75,0.0,6.11388860128965,32,160307.75732169737,-0.02537192833532998,0.0801538786608486,0.8655153267341898,1.4028720821654903,0.3125,0.8125,11.325,6,0.7832067907829546,6.0191770265078315
1560,0.75,0.25,7.248330760553063,28,182259.41389284673,-0.02318082192294915,0.09112970694642328,0.8988492982825633,1.7815098274500336,0.25,0.8928571428571429,21.933333333333334,6,0.7828624106843886,6.8087763398610575
1560,0.75,0.5,7.901846974871394,26,199652.42712699037,-0.023454322201254662,0.09982621356349532,0.9088245993605085,2.3932400563536564,0.19230769230769232,0.8846153846153846,23.383333333333333,5,0.7824824262068062,7.468952666587065
1560,1.0,-0.25,4.9295031053092355,30,114206.52971506867,-0.022795642727127693,0.05710326485753432,0.6312776426889276,0.9489589268087592,0.5,0.7666666666666667,3.25,5,0.7829410921533044,6.186329734648678
