rank,rank_sharpe,ma_window,entry_z,exit_z,zscore_valid_rows,sharpe_ratio,daily_return_count,daily_return_mean,daily_return_std,return_over_max_dd,sharpe_rank_eligible,trade_count,winning_trades,losing_trades,win_rate,gross_pnl_twd,net_pnl_twd,return_pct,max_drawdown_twd,max_drawdown_pct,profit_factor,avg_trade_pnl_twd,exposure_minutes,exposure_ratio,total_fee_twd,total_crossing_cost_twd,start,end,rank_net_pnl,rank_return_over_max_dd
26,26,2500,1.0,0.5,25319,2.542731070953078,32,0.0008660474949877504,0.0054068155020008295,1.0314049961068,True,20,17,3,0.85,118609.44053415465,55246.27463370252,0.027623137316851294,-54559.99996092939,-0.026782047227926143,2.3815005001209215,2762.3137316851257,31013,0.5788275257096996,63363.165900452106,29066.09582059071,2026-07-06 08:45:00+08:00,2026-08-12 13:44:00+08:00,23,38
27,27,3900,0.75,0.0,25319,2.51263030362538,32,0.0007883999086386213,0.004981019505131704,1.0716804983035575,True,23,19,4,0.8260869565217391,124712.19345462661,50289.6366240105,0.025144818312005258,-47990.69438233599,-0.023462980199610663,2.4101262128035152,2186.5059401743697,26150,0.4880643535713619,74422.55683061611,34159.42263515154,2026-07-06 08:45:00+08:00,2026-08-12 13:44:00+08:00,31,32
28,28,2500,1.0,-0.25,25319,2.474740942485677,32,0.0007684029701842156,0.004929008440977649,1.1626021327153575,True,32,27,5,0.84375,150132.7044175317,48994.89671947073,0.02449744835973531,-42738.9859412564,-0.021071222622411165,2.198625720814775,1531.0905224834603,23821,0.44459583045596224,101137.80769806098,46420.051643056606,2026-07-06 08:45:00+08:00,2026-08-12 13:44:00+08:00,33,30
29,29,1560,1.0,0.5,25319,2.3423462457634843,32,0.0008810990092001925,0.005971368741027302,1.2714837586105747,True,28,20,8,0.7142857142857143,145328.55698058987,56032.6333078701,0.028016316653935006,-44852.926819865825,-0.022034348818226423,2.0452996846006113,2001.165475281075,29383,0.5484051587375651,89295.92367271976,40975.09750828958,2026-07-06 08:45:00+08:00,2026-08-12 13:44:00+08:00,22,26
30,30,1560,2.0,0.25,25319,2.313109048121052,32,0.0006560789164929658,0.004502567628317693,1.0555736280664954,True,15,12,3,0.8,88791.47113125729,41776.17823366869,0.020888089116834336,-39965.46524791024,-0.019788377202161877,2.738938518046366,2785.078548911246,18946,0.3536086899718173,47015.29289758858,21572.72202205528,2026-07-06 08:45:00+08:00,2026-08-12 13:44:00+08:00,39,36
31,31,3900,1.5,0.25,25319,2.1801093535374187,32,0.000626374948841605,0.0045609611447059405,0.7344484042453838,True,9,7,2,0.7777777777777778,67820.63783042632,39821.019218538386,0.01991050960926921,-54648.87894096598,-0.027109473577965573,3.164998464601682,4424.55769094871,20076,0.37469904253532166,27999.618611887934,12823.340280458477,2026-07-06 08:45:00+08:00,2026-08-12 13:44:00+08:00,42,47
32,32,1560,1.5,0.5,25319,2.146535770207179,32,0.0006670426358428364,0.004933052463822191,1.0690129516595153,True,20,14,6,0.7,105845.77659709839,42363.84005838898,0.021181920029194442,-40047.67325520818,-0.019814465293719812,2.139870147954727,2118.192002919449,25980,0.4848914686724276,63481.9365387094,29135.141104960636,2026-07-06 08:45:00+08:00,2026-08-12 13:44:00+08:00,38,33
33,33,3900,1.5,0.0,25319,2.0131748822171778,32,0.0005400694764121604,0.004258615199022618,0.8621819950427914,True,10,8,2,0.8,65498.67545555056,34282.14417461122,0.017141072087305597,-40044.157397724455,-0.01988103693403486,3.0751851387146503,3428.2144174611217,19521,0.3643405065417421,31216.53128093935,14311.028778573078,2026-07-06 08:45:00+08:00,2026-08-12 13:44:00+08:00,48,44
34,34,2500,0.75,0.5,25319,1.9594103071574578,32,0.0006578403591295662,0.005329609585946879,0.750288683800531,True,22,16,6,0.7272727272727273,111669.67637443254,41634.309767764076,0.02081715488388203,-56267.39788790746,-0.02774552693295905,1.8764670264130316,1892.468625807458,32446,0.605573079004834,70035.36660666848,32083.810189669082,2026-07-06 08:45:00+08:00,2026-08-12 13:44:00+08:00,40,46
35,35,1560,1.0,0.25,25319,1.8066931115566096,32,0.0006039168980396942,0.005306315437443401,0.8805653693626334,True,30,19,11,0.6333333333333333,133690.47908215775,38125.05684964633,0.019062528424823193,-43965.548705729656,-0.021648055996820476,1.667871876627696,1270.8352283215443,27581,0.5147725788088617,95565.4222325114,43854.62453031562,2026-07-06 08:45:00+08:00,2026-08-12 13:44:00+08:00,43,43
36,36,2500,0.75,0.25,25319,1.7748815714503043,32,0.0005683343105389767,0.00508317153578691,0.6540000966936849,True,27,20,7,0.7407407407407407,121714.30446668155,35878.864283578936,0.017939432141789467,-55463.520631445805,-0.027430320320261038,1.6843130567605495,1328.8468253177384,29117,0.5434405270721738,85835.44018310265,39351.10544879881,2026-07-06 08:45:00+08:00,2026-08-12 13:44:00+08:00,45,52
37,37,2500,0.75,0.0,25319,1.764937079149917,32,0.0005594844951579622,0.005032213966395184,0.788225996130141,True,33,25,8,0.7575757575757576,140220.7266275847,35319.02269953686,0.017659511349768377,-45175.9842974341,-0.02240412196054072,1.821071297749611,1070.2734151374805,27635,0.5157804363649937,104901.70392804783,48135.734235598495,2026-07-06 08:45:00+08:00,2026-08-12 13:44:00+08:00,46,45
38,38,1560,0.75,0.5,25319,1.7306130408125613,32,0.0006480818958931704,0.0059447033575969425,0.972536530094119,True,32,22,10,0.6875,142574.43328836915,40779.72718729598,0.020389863593647955,-42452.93720700289,-0.020965653178780533,1.632323836389026,1274.3664746029995,31858,0.5945986300602848,101794.70610107317,46703.94271419142,2026-07-06 08:45:00+08:00,2026-08-12 13:44:00+08:00,41,41
39,39,1560,1.5,0.0,25319,1.6705942701808367,32,0.0004394994814753035,0.004176261166750997,0.729914741960579,True,23,15,8,0.6521739130434783,100801.71127339834,27771.704375775975,0.013885852187887997,-38367.54432774242,-0.019023937166401196,1.8311587465837986,1207.4654076424338,22255,0.4153679613281323,73030.00689762236,33536.44239657759,2026-07-06 08:45:00+08:00,2026-08-12 13:44:00+08:00,50,48
40,40,3900,1.0,-0.25,25319,1.6304424746437522,32,0.00045834457887814276,0.004462588981869447,0.662380568957351,True,20,17,3,0.85,92992.1330812445,28915.547938533047,0.014457773969266563,-44165.604574138066,-0.021826989870829774,1.9159563073003882,1445.7773969266523,22713,0.4239160865264376,64076.58514271143,29389.403810953885,2026-07-06 08:45:00+08:00,2026-08-12 13:44:00+08:00,49,50
41,41,1560,1.5,0.25,25319,1.4640514203015909,32,0.00042997474739393804,0.004662156953781721,0.575384193988404,True,20,14,6,0.7,90457.68078875495,27018.39320779158,0.013509196603895747,-47368.71836250904,-0.02347856744248349,1.7203606942471719,1350.9196603895791,24704,0.4610761679016032,63439.28758096337,29109.483763846485,2026-07-06 08:45:00+08:00,2026-08-12 13:44:00+08:00,51,55
42,42,1560,1.5,-0.25,25319,1.4405958246454615,32,0.0003845337176150085,0.004237332512519947,0.6572218236768312,True,26,17,9,0.6538461538461539,106665.32610589649,24193.34101190294,0.012096670505951508,-37081.05491092312,-0.01840576510115963,1.6855615260518817,930.5131158424208,19249,0.3592638907034472,82471.98509399356,37873.91931949413,2026-07-06 08:45:00+08:00,2026-08-12 13:44:00+08:00,53,51
