rank,rank_sharpe,ma_window,entry_z,exit_z,zscore_valid_rows,sharpe_ratio,daily_return_count,daily_return_mean,daily_return_std,return_over_max_dd,sharpe_rank_eligible,trade_count,winning_trades,losing_trades,win_rate,gross_pnl_twd,net_pnl_twd,return_pct,max_drawdown_twd,max_drawdown_pct,profit_factor,avg_trade_pnl_twd,exposure_minutes,exposure_ratio,total_fee_twd,total_crossing_cost_twd,start,end,rank_net_pnl,rank_return_over_max_dd
19,19,390,2.5,0.0,7151,5.9129699311016255,23,0.001557142243173343,0.004180448586136188,2.3839260742400707,True,17,14,3,0.8235294117647058,168640.5461783789,72472.2646387863,0.0362361323193931,-31288.180757138878,-0.01520019127730048,6.977176910200317,4263.074390516842,5485,0.1455718039226094,96168.2815395926,74501.36009648633,2026-07-17 00:00:00+08:00,2026-08-12 03:59:00+08:00,50,22
20,20,780,1.5,-0.25,7151,5.910479223660992,23,0.0012363241177546695,0.0033205491788438493,1.2991420402904443,True,16,13,3,0.8125,147698.55043232057,57402.13057537179,0.028701065287685838,-45263.77429921017,-0.022092322777322523,6.585660860036789,3587.633160960737,17142,0.4549483797340694,90296.41985694878,70065.1025040803,2026-07-17 00:00:00+08:00,2026-08-12 03:59:00+08:00,69,70
21,21,1560,1.0,0.25,7151,5.80333782020197,23,0.0025679468089883856,0.007024387185912986,2.477556924668813,True,16,14,2,0.875,208907.00958740083,120383.76462075947,0.060191882310379766,-50179.678101323545,-0.0242948534142867,7.4545747812824725,7523.985288797467,32843,0.8716526447092545,88523.24496664136,68637.81421209729,2026-07-17 00:00:00+08:00,2026-08-12 03:59:00+08:00,6,16
22,22,2500,1.0,-0.25,7151,5.78461219941942,23,0.002302129535694511,0.006317653139737444,2.452589446850036,True,16,13,3,0.8125,197625.9524801614,107704.5095158606,0.05385225475793029,-45263.77429921017,-0.02195730509527186,23.336373616445602,6731.531844741287,22425,0.5951591071949892,89921.44296430078,69717.52303882173,2026-07-17 00:00:00+08:00,2026-08-12 03:59:00+08:00,16,17
23,23,3900,1.5,-0.25,7151,5.775456232626046,23,0.002196072244541933,0.006036157961720894,2.311576327263259,True,8,7,1,0.875,147609.03289065365,102660.58159313764,0.05133029079656885,-45263.77429921017,-0.022205752062420647,35.71247247631782,12832.572699142205,21281,0.5647973672337376,44948.45129751599,34773.85911743311,2026-07-17 00:00:00+08:00,2026-08-12 03:59:00+08:00,20,26
24,24,780,1.0,0.5,7151,5.7225386680523425,23,0.0024792586764950976,0.006877543979309815,2.651054539111158,True,23,20,3,0.8695652173913043,244744.13769561387,116120.038470702,0.05806001923535089,-45263.77429921017,-0.021900726061568378,10.146082754207052,5048.697324813131,29693,0.7880516998858781,128624.09922491189,99904.67698158497,2026-07-17 00:00:00+08:00,2026-08-12 03:59:00+08:00,11,12
25,25,780,2.5,0.0,7151,5.695619575239854,23,0.0017122414702559002,0.00477226232013356,1.8199946033034062,True,10,9,1,0.9,137133.46241297174,79746.67197463805,0.03987333598731901,-45263.77429921017,-0.02190849133010964,8.368096751453917,7974.667197463806,8853,0.23495846492741315,57386.790438333686,44581.32537811568,2026-07-17 00:00:00+08:00,2026-08-12 03:59:00+08:00,41,42
26,26,780,1.5,0.0,7151,5.655723951712803,23,0.001662419084447796,0.004666084317164602,1.74780194736012,True,15,12,3,0.8,162126.44940703514,77391.85506612789,0.038695927533063924,-45263.77429921017,-0.022139766803389967,5.254684684199041,5159.457004408526,19852,0.5268717322646567,84734.5943409073,65748.92479270787,2026-07-17 00:00:00+08:00,2026-08-12 03:59:00+08:00,44,47
27,27,1560,1.5,0.0,7151,5.59471007318603,23,0.002139493753926877,0.006070629216262144,2.2709694395685047,True,11,10,1,0.9090909090909091,162123.2123856353,99924.63844849991,0.04996231922425004,-45263.77429921017,-0.022000436621350185,18.8406781829143,9084.05804077272,23847,0.6328989622866849,62198.57393713536,48224.66203197759,2026-07-17 00:00:00+08:00,2026-08-12 03:59:00+08:00,23,28
28,28,780,2.5,-0.25,7151,5.57094694011892,23,0.0010694338473629878,0.0030473699004899255,1.1311362977243113,True,10,8,2,0.8,106831.9778209893,49567.77967040228,0.02478388983520109,-45263.77429921017,-0.021910613146322706,6.579537542946931,4956.777967040228,6142,0.16300857241434222,57264.19815058705,44471.49780171293,2026-07-17 00:00:00+08:00,2026-08-12 03:59:00+08:00,79,78
