basket_id,direction,tranches_filled,entry_first_time,entry_last_time,ref_spread,std_ref,vwa_entry_spread,qff_contracts,gross_notional_twd,exit_time,exit_reason,exit_spread,mae_spread,mae_k,gross_pnl_twd,total_fee_twd,net_pnl_twd,holding_minutes
10,short_tsm_long_qff,1,2026-04-24 03:55:00+08:00,2026-04-24 03:55:00+08:00,-0.9462345138164118,0.992433696520963,-0.9462345138164117,2,305600.0,2026-04-29 21:31:00+08:00,zscore_exit,-1.2272915792440795,1.378829579978528,1.3893417613812382,892.5331169605415,2880.7419173690814,-1988.20880040854,8256
11,short_tsm_long_qff,3,2026-04-29 22:31:00+08:00,2026-04-29 22:58:00+08:00,0.2849300923920531,0.5240495560234802,1.4400280295319892,6,984800.0,2026-04-29 23:47:00+08:00,zscore_exit,-1.1080348595578255,2.3078920578926105,4.403957662716166,24506.67674565848,8551.221241732703,15955.455503925776,76
12,long_tsm_short_qff,1,2026-04-30 00:32:00+08:00,2026-04-30 00:32:00+08:00,-1.4794235124203974,0.5367273843419011,-1.4794235124203974,-2,321200.0,2026-04-30 21:35:00+08:00,zscore_exit,0.0294744586337336,0.594845155386099,1.1082817324766425,4877.3363891185145,2903.2561027357474,1974.080286382767,1263
13,short_tsm_long_qff,2,2026-04-30 21:40:00+08:00,2026-05-01 02:46:00+08:00,0.1409914460344582,0.5811076052731663,0.7062852091148407,4,646000.0,2026-05-05 22:02:00+08:00,zscore_exit,-0.568696304049683,1.2378923949265164,2.1302292100352216,8795.320129225649,5732.064327034504,3063.2558021911454,7222
14,long_tsm_short_qff,1,2026-05-06 21:31:00+08:00,2026-05-06 21:31:00+08:00,-4.186373753342897,0.7261992347210836,-4.186373753342897,-2,392800.0,2026-05-13 03:56:00+08:00,zscore_exit,-1.0975176600897214,0.3371175223922869,0.4642218089389284,12864.470150913803,2934.1730499001505,9930.297101013653,9025
15,short_tsm_long_qff,1,2026-05-13 21:33:00+08:00,2026-05-13 21:33:00+08:00,0.1001577377988077,1.2442112186167862,0.1001577377988077,2,404000.0,2026-05-14 21:31:00+08:00,zscore_exit,-2.550364848278388,0.5041520700903048,0.40519813882628425,11352.742029496949,2858.034409304716,8494.707620192232,1438
16,long_tsm_short_qff,1,2026-05-14 21:33:00+08:00,2026-05-14 21:33:00+08:00,-3.2486518647448586,1.1667071357623977,-3.2486518647448586,-2,436000.0,2026-05-19 21:32:00+08:00,zscore_exit,-1.0408793677509818,1.1096680515565112,0.9511110522448174,10091.382155095838,2925.4346820611177,7165.947473034721,7199
17,short_tsm_long_qff,1,2026-05-19 21:36:00+08:00,2026-05-19 21:36:00+08:00,-0.7405000086635453,1.021120961104202,-0.7405000086635453,1,228000.0,2026-05-19 22:48:00+08:00,zscore_exit,-2.1113104417691586,0.6747176805142663,0.6607617571425151,3063.4461912264087,1440.3479631855228,1623.098228040886,72
18,long_tsm_short_qff,1,2026-05-20 21:58:00+08:00,2026-05-20 21:58:00+08:00,-2.9307209625698647,0.9816878361210657,-2.9307209625698647,-1,225000.0,2026-05-21 22:23:00+08:00,zscore_exit,-1.7993429792844498,0.3728750883790677,0.379830608732411,2662.8389210470814,1457.273432763737,1205.5654882833444,1465
19,short_tsm_long_qff,1,2026-05-22 21:37:00+08:00,2026-05-22 21:37:00+08:00,-1.6282772772685254,0.7628646808177686,-1.6282772772685254,1,233000.0,2026-05-26 21:32:00+08:00,zscore_exit,-3.699974412090897,0.5207155219906132,0.6825791455339385,5496.045398514412,1436.9260992602212,4059.119299254191,5755
20,long_tsm_short_qff,1,2026-05-26 21:34:00+08:00,2026-05-26 21:34:00+08:00,-3.732349375258917,0.7125173954511516,-3.732349375258917,-1,269000.0,2026-05-26 22:07:00+08:00,zscore_exit,-2.051712731900805,0.0,0.0,4644.865282422665,1461.9721547873548,3182.8931276353096,33
21,long_tsm_short_qff,2,2026-05-26 23:00:00+08:00,2026-05-27 22:01:00+08:00,-3.632603494706468,0.7172059444357582,-4.315203249430505,-2,572000.0,2026-05-29 22:12:00+08:00,zscore_exit,-2.788938210661941,1.6994899432502817,2.3695982394391724,8847.78430800446,2927.9741827870735,5919.810125217387,4272
22,long_tsm_short_qff,1,2026-05-29 23:13:00+08:00,2026-05-29 23:13:00+08:00,-4.17646108517684,1.002286084200738,-4.17646108517684,-1,291000.0,2026-06-02 21:31:00+08:00,zscore_exit,-3.039358633026595,0.8234681183359847,0.8215898946583203,3271.7528756326833,1461.6487398126005,1810.1041358200828,5658
23,short_tsm_long_qff,3,2026-06-02 23:15:00+08:00,2026-06-04 21:33:00+08:00,-2.665331570545102,1.0143701605074316,-0.9754089180152629,3,812000.0,2026-06-11 21:31:00+08:00,zscore_exit,-1.7144626196704649,4.607879064722226,4.542601156975247,6101.753020798685,4334.547815400116,1767.205205398569,12856
